soc,charge_MW,discharge_MW,import_MW,export_MW,net_MW,objective_cost,run_id,prices_buy,prices_buy_forecast,demand_MW,demand_MW_forecast,profit_step,profit_daily
0.2375,0.0,12.3291,14.88253527,0.0,14.88253527,46344.47718686536,0,65.1,55.67568033,28.68,27.21163527,802.62441,2512.010561135734
0.2375,0.0,0.0,25.61946785,0.0,25.61946785,46344.47718686536,0,62.12,53.07239038,27.12,25.61946785,0.0,2512.010561135734
0.475,12.36,0.0,36.94397957,0.0,36.94397957,46344.47718686536,0,59.05,51.00181992,25.99,24.58397957,-729.858,2512.010561135734
0.7124999999999999,12.359999999999996,0.0,36.58109295999999,0.0,36.58109295999999,46344.47718686536,0,59.0,47.36623821,25.62,24.22109296,-729.2399999999998,2512.010561135734
0.95,12.36,0.0,36.537717650000005,0.0,36.537717650000005,46344.47718686536,0,56.63,47.40726052,25.66,24.17771765,-699.9468,2512.010561135734
1.0,2.602105263157897,0.0,27.436806523157895,0.0,27.436806523157895,46344.47718686536,0,56.63,55.01003384,26.06,24.83470126,-147.35722105263173,2512.010561135734
1.0,0.0,0.0,26.19666667,0.0,26.19666667,46344.47718686536,0,61.66,68.31150847,28.58,26.19666667,0.0,2512.010561135734
0.736842105263158,0.0,12.359999999999996,15.599220480000003,0.0,15.599220480000003,46344.47718686536,0,66.61,73.14173882,32.44,27.95922048,823.2995999999997,2512.010561135734
0.4736842105263159,0.0,12.359999999999998,22.546100520000003,0.0,22.546100520000003,46344.47718686536,0,73.0,83.79392558,35.25,34.90610052,902.2799999999999,2512.010561135734
0.2105263157894737,0.0,12.359999999999998,22.298405090000003,0.0,22.298405090000003,46344.47718686536,0,73.0,65.41623894,36.63,34.65840509,902.2799999999999,2512.010561135734
0.2105263157894737,0.0,0.0,34.97362482,0.0,34.97362482,46344.47718686536,0,65.0,65.25547287,36.22,34.97362482,0.0,2512.010561135734
0.2874999999999999,4.005872576177277,0.0,37.825275986177274,0.0,37.825275986177274,46344.47718686536,0,63.82,59.10891214,35.17,33.81940341,-255.6547878116338,2512.010561135734
0.5249999999999999,12.36,0.0,46.54180884,0.0,46.54180884,46344.47718686536,0,62.19,56.47060763,33.26,34.18180884,-768.6683999999999,2512.010561135734
0.7625,12.36,0.0,48.6975,0.0,48.6975,46344.47718686536,0,59.5,51.56733,31.54,36.3375,-735.42,2512.010561135734
1.0,12.36,0.0,49.78111111,0.0,49.78111111,46344.47718686536,0,56.99,55.1069477,31.52,37.42111111,-704.3964,2512.010561135734
1.0,0.0,0.0,34.66035584,0.0,34.66035584,46344.47718686536,0,61.92,62.44495389,32.14,34.66035584,0.0,2512.010561135734
1.0,0.0,0.0,35.169247,0.0,35.169247,46344.47718686536,0,65.63,69.66330869,33.53,35.169247,0.0,2512.010561135734
0.736842105263158,0.0,12.359999999999996,25.44389646,0.0,25.44389646,46344.47718686536,0,82.47,80.99666667,37.37,37.80389646,1019.3291999999997,2512.010561135734
0.4736842105263159,0.0,12.359999999999998,26.8327837,0.0,26.8327837,46344.47718686536,0,82.79,74.2241846,38.78,39.1927837,1023.2843999999999,2512.010561135734
0.2105263157894737,0.0,12.359999999999998,27.12984687,0.0,27.12984687,46344.47718686536,0,83.5,74.52112903,38.96,39.48984687,1032.0599999999997,2512.010561135734
0.0,0.0,9.888000000000003,28.043999999999997,0.0,28.043999999999997,46344.47718686536,0,78.62,68.36196225,36.4,37.932,777.3945600000003,2512.010561135734
0.0,0.0,0.0,35.10596615,0.0,35.10596615,46344.47718686536,0,72.94,64.14167772,33.51,35.10596615,0.0,2512.010561135734
0.0,0.0,0.0,32.22280021,0.0,32.22280021,46344.47718686536,0,64.53,63.01678135,30.89,32.22280021,0.0,2512.010561135734
0.0,0.0,0.0,30.26906953,0.0,30.26906953,46344.47718686536,0,60.32,57.17275082,28.02,30.26906953,0.0,2512.010561135734
0.2375,0.0,12.3291,15.09465327,0.0,15.09465327,49620.84700407602,1,47.52,54.0043772,27.84,27.42375327,585.8788320000001,1916.6759542892496
0.0,0.0,11.154899999999998,14.593583720000002,0.0,14.593583720000002,49620.84700407602,1,46.63,53.44844374,26.31,25.74848372,520.1529869999999,1916.6759542892496
0.2434210526315789,12.36,0.0,37.894792370000005,0.0,37.894792370000005,49620.84700407602,1,46.06,51.42142703,25.47,25.53479237,-569.3016,1916.6759542892496
0.4871794871794872,12.36,0.0,37.25084903,0.0,37.25084903,49620.84700407602,1,40.74,46.27788363,25.28,24.89084903,-503.5464,1916.6759542892496
0.7209263157894737,12.164677059450243,0.0,37.809431639450246,0.0,37.809431639450246,49620.84700407602,1,41.76,47.29682014,25.48,25.64475458,-507.99691400264214,1916.6759542892496
0.9546731578947372,12.164677761772872,0.0,39.285580891772874,0.0,39.285580891772874,49620.84700407602,1,47.67,49.4829036,27.25,27.12090313,-579.8901889037128,1916.6759542892496
0.9546731578947372,0.0,0.0,27.855,0.0,27.855,49620.84700407602,1,61.22,51.08825332,32.54,27.855,0.0,1916.6759542892496
0.6918918918918919,0.0,12.34231050162164,25.52357568837836,0.0,25.52357568837836,49620.84700407602,1,66.25,60.86419929,38.5,37.86588619,817.6780707324336,1916.6759542892496
0.4292188976377955,0.0,12.3372251941264,28.836143195873603,0.0,28.836143195873603,49620.84700407602,1,75.53,70.83969348,43.09,41.17336839,931.8306189123671,1916.6759542892496
0.4292188976377955,0.0,0.0,41.34764044,0.0,41.34764044,49620.84700407602,1,65.9,65.54813428,43.77,41.34764044,0.0,1916.6759542892496
0.4292188976377955,0.0,0.0,41.52346237,0.0,41.52346237,49620.84700407602,1,59.94,54.91229247,42.87,41.52346237,0.0,1916.6759542892496
0.4292188976377955,0.0,0.0,40.53987421,0.0,40.53987421,49620.84700407602,1,53.11,55.45358764,42.18,40.53987421,0.0,1916.6759542892496
0.4292188976377955,0.0,0.0,39.26307532,0.0,39.26307532,49620.84700407602,1,48.41,53.85848748,39.65,39.26307532,0.0,1916.6759542892496
0.4292188976377955,0.0,0.0,36.53264045,0.0,36.53264045,49620.84700407602,1,48.23,50.57300333,39.08,36.53264045,0.0,1916.6759542892496
0.4292188976377955,0.0,0.0,37.37011299,0.0,37.37011299,49620.84700407602,1,51.66,57.58194427,40.25,37.37011299,0.0,1916.6759542892496
0.4292188976377955,0.0,0.0,41.00815612,0.0,41.00815612,49620.84700407602,1,57.29,59.70348781,41.11,41.00815612,0.0,1916.6759542892496
0.4292188976377955,0.0,0.0,40.59705916,0.0,40.59705916,49620.84700407602,1,61.79,57.30388725,42.14,40.59705916,0.0,1916.6759542892496
0.4292188976377955,0.0,0.0,39.52206336,0.0,39.52206336,49620.84700407602,1,71.95,54.72666667,43.48,39.52206336,0.0,1916.6759542892496
0.4292188976377955,0.0,0.0,43.82418413,0.0,43.82418413,49620.84700407602,1,79.65,78.45547569,45.5,43.82418413,0.0,1916.6759542892496
0.4292188976377955,0.0,0.0,44.24649055,0.0,44.24649055,49620.84700407602,1,79.74,74.52112903,44.19,44.24649055,0.0,1916.6759542892496
0.4292188976377955,0.0,0.0,40.48096154,0.0,40.48096154,49620.84700407602,1,69.5,75.50673866,41.38,40.48096154,0.0,1916.6759542892496
0.1663157894736842,0.0,12.34803318425198,25.311680455748014,0.0,25.311680455748014,49620.84700407602,1,63.83,72.25064135,37.88,37.65971364,788.1749581508038,1916.6759542892496
0.0,0.0,7.811519999999998,26.226017450000004,0.0,26.226017450000004,49620.84700407602,1,55.52,69.03074329,34.08,34.03753745,433.6955903999999,1916.6759542892496
0.0,0.0,0.0,31.43042945,0.0,31.43042945,49620.84700407602,1,49.4,59.82049681,30.37,31.43042945,0.0,1916.6759542892496
0.2375,0.0,12.3291,14.49562845,0.0,14.49562845,45057.54015183149,2,37.33,53.77682149,27.32,26.82472845,460.245303,2612.666444052631
0.2375,0.0,0.0,25.4764634,0.0,25.4764634,45057.54015183149,2,36.38,51.62501013,25.95,25.4764634,0.0,2612.666444052631
0.475,12.36,0.0,37.02832101,0.0,37.02832101,45057.54015183149,2,32.7,51.01237942,25.12,24.66832101,-404.172,2612.666444052631
0.7124999999999999,12.359999999999996,0.0,36.89779575,0.0,36.89779575,45057.54015183149,2,32.17,45.96145574,24.94,24.53779575,-397.6211999999999,2612.666444052631
0.95,12.36,0.0,36.56269447,0.0,36.56269447,45057.54015183149,2,32.31,47.29798141,25.23,24.20269447,-399.3516,2612.666444052631
1.0,2.602105263157897,0.0,29.166352173157897,0.0,29.166352173157897,45057.54015183149,2,36.32,49.58704962,26.79,26.56424691,-94.50846315789482,2612.666444052631
1.0,0.0,0.0,27.855,0.0,27.855,45057.54015183149,2,47.66,50.51830637,31.38,27.855,0.0,2612.666444052631
0.736842105263158,0.0,12.359999999999996,24.087851670000003,0.0,24.087851670000003,45057.54015183149,2,58.0,59.62216034,36.51,36.44785167,716.8799999999998,2612.666444052631
0.4736842105263159,0.0,12.359999999999998,27.29017763,0.0,27.29017763,45057.54015183149,2,61.24,62.45621782,40.78,39.65017763,756.9263999999998,2612.666444052631
0.2105263157894737,0.0,12.359999999999998,27.75420802,0.0,27.75420802,45057.54015183149,2,58.69,58.96772966,41.23,40.11420802,725.4083999999998,2612.666444052631
0.0,0.0,9.888000000000003,30.600633099999996,0.0,30.600633099999996,45057.54015183149,2,53.36,52.82325662,40.5,40.4886331,527.6236800000001,2612.666444052631
0.0,0.0,0.0,40.24404128,0.0,40.24404128,45057.54015183149,2,51.83,50.8511124,39.95,40.24404128,0.0,2612.666444052631
0.2375,12.36,0.0,50.43427042,0.0,50.43427042,45057.54015183149,2,42.14,46.8988437,37.53,38.07427042,-520.8504,2612.666444052631
0.475,12.36,0.0,48.89264045,0.0,48.89264045,45057.54015183149,2,42.29,42.10943333,37.21,36.53264045,-522.7044,2612.666444052631
0.7124999999999999,12.359999999999996,0.0,49.730112989999995,0.0,49.730112989999995,45057.54015183149,2,50.12,52.88568881,38.55,37.37011299,-619.4831999999998,2612.666444052631
0.95,12.36,0.0,52.18409031,0.0,52.18409031,45057.54015183149,2,51.72,55.80022792,39.26,39.82409031,-639.2592,2612.666444052631
1.0,2.602105263157897,0.0,42.9442487231579,0.0,42.9442487231579,45057.54015183149,2,55.25,57.81535796,39.98,40.34214346,-143.76631578947382,2612.666444052631
1.0,0.0,0.0,40.44616831,0.0,40.44616831,45057.54015183149,2,58.4,56.25166667,40.37,40.44616831,0.0,2612.666444052631
0.736842105263158,0.0,12.359999999999996,29.661569100000005,0.0,29.661569100000005,45057.54015183149,2,67.53,68.90427279,42.25,42.0215691,834.6707999999998,2612.666444052631
0.4736842105263159,0.0,12.359999999999998,28.03193845,0.0,28.03193845,45057.54015183149,2,74.52,74.52112903,42.53,40.39193845,921.0671999999997,2612.666444052631
0.2105263157894737,0.0,12.359999999999998,28.120961540000003,0.0,28.120961540000003,45057.54015183149,2,64.54,71.81657759,40.6,40.48096154,797.7144,2612.666444052631
0.0,0.0,9.888000000000003,25.773153799999996,0.0,25.773153799999996,45057.54015183149,2,62.08,68.04474696,37.39,35.6611538,613.8470400000002,2612.666444052631
0.0,0.0,0.0,32.19721697,0.0,32.19721697,45057.54015183149,2,55.69,63.58707736,33.46,32.19721697,0.0,2612.666444052631
0.0,0.0,0.0,29.18866936,0.0,29.18866936,45057.54015183149,2,52.75,57.47710989,29.8,29.18866936,0.0,2612.666444052631
0.2375,0.0,12.3291,14.58269927,0.0,14.58269927,42966.70577141404,3,56.49,53.85301853,27.89,26.91179927,696.470859,1867.2948551052625
0.2375,0.0,0.0,25.44886512,0.0,25.44886512,42966.70577141404,3,55.26,45.00742692,26.26,25.44886512,0.0,1867.2948551052625
0.475,12.36,0.0,36.20866255,0.0,36.20866255,42966.70577141404,3,55.26,41.41469454,25.41,23.84866255,-683.0136,1867.2948551052625
0.7124999999999999,12.359999999999996,0.0,36.59676111,0.0,36.59676111,42966.70577141404,3,54.0,44.50049096,25.2,24.23676111,-667.4399999999998,1867.2948551052625
0.95,12.36,0.0,36.11442165,0.0,36.11442165,42966.70577141404,3,52.97,45.83876435,25.3,23.75442165,-654.7092,1867.2948551052625
1.0,2.602105263157897,0.0,28.495551243157895,0.0,28.495551243157895,42966.70577141404,3,55.65,47.53009593,26.53,25.89344598,-144.80715789473697,1867.2948551052625
1.0,0.0,0.0,29.65126582,0.0,29.65126582,42966.70577141404,3,62.0,58.90143297,30.8,29.65126582,0.0,1867.2948551052625
0.736842105263158,0.0,12.359999999999996,22.945414960000004,0.0,22.945414960000004,42966.70577141404,3,70.0,60.36394139,36.04,35.30541496,865.1999999999997,1867.2948551052625
0.4736842105263159,0.0,12.359999999999998,27.1573584,0.0,27.1573584,42966.70577141404,3,74.88,64.84003601,40.28,39.5173584,925.5167999999998,1867.2948551052625
0.4736842105263159,0.0,0.0,39.906234,0.0,39.906234,42966.70577141404,3,74.0,61.37929875,40.97,39.906234,0.0,1867.2948551052625
0.4736842105263159,0.0,0.0,39.66035607,0.0,39.66035607,42966.70577141404,3,70.0,54.62071243,40.46,39.66035607,0.0,1867.2948551052625
0.4736842105263159,0.0,0.0,39.24138151,0.0,39.24138151,42966.70577141404,3,64.65,56.74981215,39.95,39.24138151,0.0,1867.2948551052625
0.4736842105263159,0.0,0.0,37.71631761,0.0,37.71631761,42966.70577141404,3,57.65,52.2437737,37.74,37.71631761,0.0,1867.2948551052625
0.4736842105263159,0.0,0.0,36.53264045,0.0,36.53264045,42966.70577141404,3,56.72,50.34071333,37.19,36.53264045,0.0,1867.2948551052625
0.4736842105263159,0.0,0.0,37.37011299,0.0,37.37011299,42966.70577141404,3,57.59,51.37618011,37.98,37.37011299,0.0,1867.2948551052625
0.4736842105263159,0.0,0.0,38.89063289,0.0,38.89063289,42966.70577141404,3,58.65,53.26705337,38.13,38.89063289,0.0,1867.2948551052625
0.7111842105263159,12.36,0.0,50.94329313,0.0,50.94329313,42966.70577141404,3,59.11,51.88764965,38.13,38.58329313,-730.5996,1867.2948551052625
0.9486842105263158,12.359999999999996,0.0,50.79903261999999,0.0,50.79903261999999,42966.70577141404,3,59.11,53.64625,37.66,38.43903262,-730.5995999999998,1867.2948551052625
0.9486842105263158,0.0,0.0,37.50334942,0.0,37.50334942,42966.70577141404,3,60.0,59.62871377,37.81,37.50334942,0.0,1867.2948551052625
0.6855263157894738,0.0,12.359999999999996,25.029585140000005,0.0,25.029585140000005,42966.70577141404,3,72.17,63.18588608,38.22,37.38958514,892.0211999999997,1867.2948551052625
0.4223684210526316,0.0,12.36,26.086,0.0,26.086,42966.70577141404,3,74.33,70.20111879,39.15,38.446,918.7188,1867.2948551052625
0.1592105263157894,0.0,12.36,23.42038751,0.0,23.42038751,42966.70577141404,3,61.07,59.65582836,36.59,35.78038751,754.8252,1867.2948551052625
0.0,0.0,7.477799999999999,24.838033750000005,0.0,24.838033750000005,42966.70577141404,3,56.93,54.88787762,32.93,32.31583375,425.71115399999996,1867.2948551052625
0.0,0.0,0.0,29.28563809,0.0,29.28563809,42966.70577141404,3,53.72,54.08242859,29.44,29.28563809,0.0,1867.2948551052625
0.2375,0.0,12.3291,14.549278040000004,0.0,14.549278040000004,42686.02190634062,4,49.8,55.19245267,24.12,26.87837804,613.98918,1322.0790047867029
0.0,0.0,11.154899999999998,14.293965120000005,0.0,14.293965120000005,42686.02190634062,4,46.04,49.31910034,22.61,25.44886512,513.5715959999999,1322.0790047867029
0.2434210526315789,12.36,0.0,36.20370873,0.0,36.20370873,42686.02190634062,4,42.0,46.19023564,21.57,23.84370873,-519.12,1322.0790047867029
0.4871052631578947,12.36,0.0,36.565017569999995,0.0,36.565017569999995,42686.02190634062,4,36.05,45.52136395,21.12,24.20501757,-445.5779999999999,1322.0790047867029
0.7207894736842105,12.161418282548478,0.0,35.853129902548474,0.0,35.853129902548474,42686.02190634062,4,35.51,47.40790226,21.04,23.69171162,-431.8519632132964,1322.0790047867029
0.9644736842105264,12.36,0.0,38.23603023,0.0,38.23603023,42686.02190634062,4,40.96,44.58102618,20.85,25.87603023,-506.2656,1322.0790047867029
0.9644736842105264,0.0,0.0,29.65126582,0.0,29.65126582,42686.02190634062,4,35.51,50.54484074,20.74,29.65126582,0.0,1322.0790047867029
0.7368421052631579,0.0,10.691399999999998,23.446733850000005,0.0,23.446733850000005,42686.02190634062,4,39.16,60.26674258,22.12,34.13813385,418.6752239999999,1322.0790047867029
0.4736842105263157,0.0,12.359999999999998,26.72204179,0.0,26.72204179,42686.02190634062,4,43.8,68.10602326,23.74,39.08204179,541.3679999999998,1322.0790047867029
0.2105263157894736,0.0,12.359999999999998,27.819329860000003,0.0,27.819329860000003,42686.02190634062,4,46.5,64.91106787,24.93,40.17932986,574.7399999999999,1322.0790047867029
0.2105263157894736,0.0,0.0,39.18802018,0.0,39.18802018,42686.02190634062,4,52.24,57.65754253,25.4,39.18802018,0.0,1322.0790047867029
0.4480263157894736,12.36,0.0,49.51885715,0.0,49.51885715,42686.02190634062,4,50.0,54.89066483,25.53,37.15885715,-618.0,1322.0790047867029
0.6855263157894737,12.36,0.0,48.43510771,0.0,48.43510771,42686.02190634062,4,44.83,50.12860544,25.16,36.07510771,-554.0988,1322.0790047867029
0.6855263157894737,0.0,0.0,36.53264045,0.0,36.53264045,42686.02190634062,4,40.61,49.57376857,23.83,36.53264045,0.0,1322.0790047867029
0.6855263157894737,0.0,0.0,37.37011299,0.0,37.37011299,42686.02190634062,4,39.15,52.23309609,23.18,37.37011299,0.0,1322.0790047867029
0.6855263157894737,0.0,0.0,38.27032302,0.0,38.27032302,42686.02190634062,4,38.0,54.4007587,23.05,38.27032302,0.0,1322.0790047867029
0.6855263157894737,0.0,0.0,38.90612371,0.0,38.90612371,42686.02190634062,4,42.0,52.94600953,23.34,38.90612371,0.0,1322.0790047867029
0.6855263157894737,0.0,0.0,38.20599797,0.0,38.20599797,42686.02190634062,4,44.32,54.71333333,24.25,38.20599797,0.0,1322.0790047867029
0.6855263157894737,0.0,0.0,36.83735996,0.0,36.83735996,42686.02190634062,4,47.99,56.95766304,25.62,36.83735996,0.0,1322.0790047867029
0.6855263157894737,0.0,0.0,36.81548034,0.0,36.81548034,42686.02190634062,4,52.57,60.8568,27.67,36.81548034,0.0,1322.0790047867029
0.6855263157894737,0.0,0.0,38.446,0.0,38.446,42686.02190634062,4,55.77,64.67681508,29.3,38.446,0.0,1322.0790047867029
0.4223684210526315,0.0,12.359999999999998,23.21250672,0.0,23.21250672,42686.02190634062,4,56.73,59.95290702,29.46,35.57250672,701.1827999999998,1322.0790047867029
0.1592105263157894,0.0,12.359999999999998,19.83850488,0.0,19.83850488,42686.02190634062,4,54.84,55.72539104,27.29,32.19850488,677.8223999999999,1322.0790047867029
0.0,0.0,7.477799999999999,21.68206318,0.0,21.68206318,42686.02190634062,4,47.56,54.25064097,24.49,29.15986318,355.644168,1322.0790047867029
0.2375,0.0,12.3291,15.98802013,0.0,15.98802013,52093.62009718298,5,52.33,64.28362034,30.61,28.31712013,645.181803,1679.8225709999997
0.2375,0.0,0.0,26.78312673,0.0,26.78312673,52093.62009718298,5,43.25,61.76422388,29.22,26.78312673,0.0,1679.8225709999997
0.2375,0.0,0.0,25.88202063,0.0,25.88202063,52093.62009718298,5,42.34,57.61969796,27.96,25.88202063,0.0,1679.8225709999997
0.2375,0.0,0.0,25.71474933,0.0,25.71474933,52093.62009718298,5,40.25,55.7022459,27.59,25.71474933,0.0,1679.8225709999997
0.475,12.36,0.0,39.28287323,0.0,39.28287323,52093.62009718298,5,41.56,54.74318125,27.56,26.92287323,-513.6816,1679.8225709999997
0.7124999999999999,12.359999999999996,0.0,40.98938808,0.0,40.98938808,52093.62009718298,5,39.97,49.54756517,27.99,28.62938808,-494.02919999999983,1679.8225709999997
0.7124999999999999,0.0,0.0,31.96304348,0.0,31.96304348,52093.62009718298,5,45.7,59.69162884,31.29,31.96304348,0.0,1679.8225709999997
0.7124999999999999,0.0,0.0,34.74612691,0.0,34.74612691,52093.62009718298,5,54.94,63.69067844,36.59,34.74612691,0.0,1679.8225709999997
0.7124999999999999,0.0,0.0,41.21954168,0.0,41.21954168,52093.62009718298,5,60.0,65.40120035,41.49,41.21954168,0.0,1679.8225709999997
0.4493333333333333,0.0,12.36,30.35491589,0.0,30.35491589,52093.62009718298,5,57.92,63.77656921,42.82,42.71491589,715.8912,1679.8225709999997
0.4493333333333333,0.0,0.0,42.33209063,0.0,42.33209063,52093.62009718298,5,58.38,63.40521798,42.89,42.33209063,0.0,1679.8225709999997
0.4493333333333333,0.0,0.0,41.83457803,0.0,41.83457803,52093.62009718298,5,53.72,61.10054973,42.89,41.83457803,0.0,1679.8225709999997
0.4493333333333333,0.0,0.0,40.68863551,0.0,40.68863551,52093.62009718298,5,45.84,58.08710253,40.85,40.68863551,0.0,1679.8225709999997
0.6868421052631579,12.36,0.0,53.94324324,0.0,53.94324324,52093.62009718298,5,44.7,57.95997732,40.97,41.58324324,-552.492,1679.8225709999997
0.6842105263157895,0.0,0.1236000000000003,42.38721081,0.0,42.38721081,52093.62009718298,5,50.48,55.26834458,42.04,42.51081081,6.2393280000000155,1679.8225709999997
0.6842105263157895,0.0,0.0,41.09642426,0.0,41.09642426,52093.62009718298,5,53.64,59.85145432,42.49,41.09642426,0.0,1679.8225709999997
0.6842105263157895,0.0,0.0,42.5380694,0.0,42.5380694,52093.62009718298,5,54.94,64.72125603,42.69,42.5380694,0.0,1679.8225709999997
0.6842105263157895,0.0,0.0,42.00720578,0.0,42.00720578,52093.62009718298,5,56.33,64.09333333,42.18,42.00720578,0.0,1679.8225709999997
0.6842105263157895,0.0,0.0,39.43189635,0.0,39.43189635,52093.62009718298,5,57.58,66.38007488,41.38,39.43189635,0.0,1679.8225709999997
0.6842105263157895,0.0,0.0,37.60614074,0.0,37.60614074,52093.62009718298,5,60.95,69.96826087,40.48,37.60614074,0.0,1679.8225709999997
0.4210526315789473,0.0,12.36,28.448,0.0,28.448,52093.62009718298,5,61.81,68.80964766,39.71,40.808,763.9716,1679.8225709999997
0.1578947368421052,0.0,12.359999999999996,25.379618670000003,0.0,25.379618670000003,52093.62009718298,5,57.94,65.94926857,38.96,37.73961867,716.1383999999997,1679.8225709999997
0.0,0.0,7.415999999999999,26.881948210000004,0.0,26.881948210000004,52093.62009718298,5,52.94,66.19534546,35.95,34.29794821,392.6030399999999,1679.8225709999997
0.0,0.0,0.0,32.13597485,0.0,32.13597485,52093.62009718298,5,45.68,59.63213849,32.5,32.13597485,0.0,1679.8225709999997
0.2375,0.0,12.3291,16.807260630000002,0.0,16.807260630000002,45448.36570976702,6,58.65,65.54500765,32.23,29.13636063,723.101715,801.2357314736842
0.0,0.0,11.154899999999998,16.359789300000003,0.0,16.359789300000003,45448.36570976702,6,54.32,64.16627348,30.56,27.5146893,605.9341679999999,801.2357314736842
0.0,0.0,0.0,27.26492727,0.0,27.26492727,45448.36570976702,6,52.98,60.55621394,29.43,27.26492727,0.0,801.2357314736842
0.0,0.0,0.0,26.28946088,0.0,26.28946088,45448.36570976702,6,49.3,58.93256578,28.95,26.28946088,0.0,801.2357314736842
0.0,0.0,0.0,26.53235762,0.0,26.53235762,45448.36570976702,6,48.83,56.86903208,28.93,26.53235762,0.0,801.2357314736842
0.2375,12.36,0.0,40.40463667,0.0,40.40463667,45448.36570976702,6,48.76,50.87701071,29.64,28.04463667,-602.6736,801.2357314736842
0.475,12.36,0.0,37.00333333,0.0,37.00333333,45448.36570976702,6,53.96,55.07798546,32.51,24.64333333,-666.9456,801.2357314736842
0.7124999999999999,12.359999999999996,0.0,41.89121555999999,0.0,41.89121555999999,45448.36570976702,6,59.94,59.5156882,37.28,29.53121556,-740.8583999999997,801.2357314736842
0.7124999999999999,0.0,0.0,32.02752119,0.0,32.02752119,45448.36570976702,6,60.41,58.24318829,42.0,32.02752119,0.0,801.2357314736842
0.4499999999999999,0.0,12.3291,23.167361740000004,0.0,23.167361740000004,45448.36570976702,6,60.49,59.58896698,43.7,35.49646174,745.7872590000001,801.2357314736842
0.4499999999999999,0.0,0.0,38.03464646,0.0,38.03464646,45448.36570976702,6,58.84,58.07299075,44.0,38.03464646,0.0,801.2357314736842
0.4499999999999999,0.0,0.0,38.4563203,0.0,38.4563203,45448.36570976702,6,58.59,56.82614584,44.15,38.4563203,0.0,801.2357314736842
0.4499999999999999,0.0,0.0,36.47822612,0.0,36.47822612,45448.36570976702,6,51.03,55.73858396,42.79,36.47822612,0.0,801.2357314736842
0.6875,12.36,0.0,43.846666670000005,0.0,43.846666670000005,45448.36570976702,6,50.04,51.61442333,42.69,31.48666667,-618.4943999999999,801.2357314736842
0.925,12.36,0.0,44.328947369999995,0.0,44.328947369999995,45448.36570976702,6,52.7,50.17925787,43.43,31.96894737,-651.372,801.2357314736842
1.0,3.903157894736839,0.0,34.65048800473684,0.0,34.65048800473684,45448.36570976702,6,56.18,52.24647967,43.68,30.74733011,-219.27941052631562,801.2357314736842
1.0,0.0,0.0,32.52949043,0.0,32.52949043,45448.36570976702,6,62.33,57.22137816,43.87,32.52949043,0.0,801.2357314736842
1.0,0.0,0.0,36.52831254,0.0,36.52831254,45448.36570976702,6,58.05,59.76857143,43.48,36.52831254,0.0,801.2357314736842
1.0,0.0,0.0,35.49834381,0.0,35.49834381,45448.36570976702,6,59.5,64.18298913,42.94,35.49834381,0.0,801.2357314736842
0.736842105263158,0.0,12.359999999999996,23.725914600000007,0.0,23.725914600000007,45448.36570976702,6,60.55,66.01875,41.66,36.0859146,748.3979999999997,801.2357314736842
0.4736842105263159,0.0,12.359999999999998,22.37076923,0.0,22.37076923,45448.36570976702,6,60.06,69.16416306,40.67,34.73076923,742.3415999999999,801.2357314736842
0.2105263157894737,0.0,12.359999999999998,25.589864580000004,0.0,25.589864580000004,45448.36570976702,6,59.49,72.93348243,39.89,37.94986458,735.2963999999998,801.2357314736842
0.2105263157894737,0.0,0.0,34.40067732,0.0,34.40067732,45448.36570976702,6,55.55,73.62135115,37.19,34.40067732,0.0,801.2357314736842
0.2105263157894737,0.0,0.0,32.26496933,0.0,32.26496933,45448.36570976702,6,48.04,68.00196775,34.27,32.26496933,0.0,801.2357314736842
